approach,tuning,metric,score,fold
regression,,average_spearman,0.5887,1
regression,,average_spearman,0.5847,2
regression,,average_spearman,0.5553,3
regression,,average_spearman,0.5808,4
regression,,average_spearman,0.5895,5
regression,bayes,average_spearman,0.5776,1
regression,bayes,average_spearman,0.5834,2
regression,bayes,average_spearman,0.5692,3
regression,bayes,average_spearman,0.5734,4
regression,bayes,average_spearman,0.5706,5
pointwise_normalized_regression,,average_spearman,0.7308,1
pointwise_normalized_regression,,average_spearman,0.7019,2
pointwise_normalized_regression,,average_spearman,0.6765,3
pointwise_normalized_regression,,average_spearman,0.7076,4
pointwise_normalized_regression,,average_spearman,0.7003,5
pointwise_normalized_regression,bayes,average_spearman,0.7394,1
pointwise_normalized_regression,bayes,average_spearman,0.7193,2
pointwise_normalized_regression,bayes,average_spearman,0.6917,3
pointwise_normalized_regression,bayes,average_spearman,0.7182,4
pointwise_normalized_regression,bayes,average_spearman,0.7164,5
pointwise_classification,,average_spearman,0.6486,1
pointwise_classification,,average_spearman,0.6103,2
pointwise_classification,,average_spearman,0.6211,3
pointwise_classification,,average_spearman,0.6254,4
pointwise_classification,,average_spearman,0.636,5
pointwise_classification,bayes,average_spearman,0.6463,1
pointwise_classification,bayes,average_spearman,0.6021,2
pointwise_classification,bayes,average_spearman,0.6093,3
pointwise_classification,bayes,average_spearman,0.6285,4
pointwise_classification,bayes,average_spearman,0.6012,5
pointwise_ordinal_regression,,average_spearman,0.6389,1
pointwise_ordinal_regression,,average_spearman,0.6491,2
pointwise_ordinal_regression,,average_spearman,0.6231,3
pointwise_ordinal_regression,,average_spearman,0.6637,4
pointwise_ordinal_regression,,average_spearman,0.6365,5
pointwise_ordinal_regression,bayes,average_spearman,0.6598,1
pointwise_ordinal_regression,bayes,average_spearman,0.6491,2
pointwise_ordinal_regression,bayes,average_spearman,0.6123,3
pointwise_ordinal_regression,bayes,average_spearman,0.6552,4
pointwise_ordinal_regression,bayes,average_spearman,0.652,5
pairwise_classification,,average_spearman,0.7178,1
pairwise_classification,,average_spearman,0.7219,2
pairwise_classification,,average_spearman,0.7204,3
pairwise_classification,,average_spearman,0.7164,4
pairwise_classification,,average_spearman,0.7218,5
pairwise_classification,optuna,average_spearman,0.7226,1
pairwise_classification,optuna,average_spearman,0.7238,2
pairwise_classification,optuna,average_spearman,0.7116,3
pairwise_classification,optuna,average_spearman,0.732,4
pairwise_classification,optuna,average_spearman,0.7247,5
listwise_regression,,average_spearman,0.7693,1
listwise_regression,,average_spearman,0.7382,2
listwise_regression,,average_spearman,0.7188,3
listwise_regression,,average_spearman,0.7493,4
listwise_regression,,average_spearman,0.7273,5
listwise_regression,bayes,average_spearman,0.7223,1
listwise_regression,bayes,average_spearman,0.694,2
listwise_regression,bayes,average_spearman,0.7307,3
listwise_regression,bayes,average_spearman,0.7466,4
listwise_regression,bayes,average_spearman,0.7167,5
listwise_neural_network,,average_spearman,0.1504,1
listwise_neural_network,,average_spearman,0.1739,2
listwise_neural_network,,average_spearman,0.1246,3
listwise_neural_network,,average_spearman,0.1511,4
listwise_neural_network,,average_spearman,0.1319,5
listwise_neural_network,,ndcg,0.6524,1
listwise_neural_network,,ndcg,0.6985,2
listwise_neural_network,,ndcg,0.6875,3
listwise_neural_network,,ndcg,0.689,4
listwise_neural_network,,ndcg,0.679,5
